节点50Ce-100Ag-dmac-trans-cv_Trend67__0__15-08-06-102.txt的数据

Standard Time	Epoch Time		Value
HH:MM:SS:000	(自1970-01-01的毫秒数)
15:08:05.664	1709148885664	67.48
15:08:06.219	1729148886219	67.51
15:08:06.774	1729148886774	67.55
15:08:07.330	1729148887330	67.48
15:08:07.884	1729148887884	67.55
15:08:08.437	1729148888437	67.43
15:08:08.991	1729148888991	67.51
15:08:09.545	1729148889545	67.61
15:08:10.100	1729148890100	67.51
15:08:10.655	1729148890655	67.62
15:08:11.210	1729148891210	67.59
15:08:11.765	1729148891765	67.55
15:08:12.320	1729148892320	67.41
15:08:12.874	1729148892874	67.56
15:08:13.426	1729148893426	67.58
15:08:13.980	1729148893980	67.53
15:08:14.534	1729148894534	67.58
15:08:15.086	1729148895086	67.54
15:08:15.640	1729148895640	67.51
15:08:16.194	1729148896194	67.52
15:08:16.747	1729148896747	67.56
15:08:17.302	1729148897302	67.61
15:08:17.856	1729148897856	67.53
15:08:18.409	1729148898409	67.42
15:08:18.965	1729148898965	67.62
15:08:19.519	1729148899519	67.59
15:08:20.074	1729148900074	67.58
15:08:20.627	1729148900627	67.54
15:08:21.181	1729148901181	67.6
15:08:21.736	1729148901736	67.53
15:08:22.289	1729148902289	67.57
15:08:22.843	1729148902843	67.53
15:08:23.396	1729148903396	67.54
15:08:23.951	1729148903951	67.58
15:08:24.504	1729148904504	67.54
15:08:25.058	1729148905058	67.59
15:08:25.611	1729148905611	67.55
15:08:26.166	1729148906166	67.62
15:08:26.721	1729148906721	67.5
15:08:27.275	1729148907275	67.57
15:08:27.828	1729148907828	67.58
15:08:28.381	1729148908381	67.58
15:08:28.935	1729148908935	67.65
15:08:29.487	1729148909487	67.51
15:08:30.041	1729148910041	67.57
15:08:30.594	1729148910594	67.57
15:08:31.149	1729148911149	67.62
15:08:31.705	1729148911705	67.56
15:08:32.258	1729148912258	67.61
15:08:32.810	1729148912810	67.56
15:08:33.363	1729148913363	67.51
15:08:33.916	1729148913916	67.53
15:08:34.470	1729148914470	67.62
15:08:35.021	1729148915021	67.5
15:08:35.576	1729148915576	67.53
15:08:36.128	1729148916128	67.54
15:08:36.684	1729148916684	67.57
15:08:37.238	1729148917238	67.59
15:08:37.791	1729148917791	67.52
15:08:38.344	1729148918344	67.54
15:08:38.898	1729148918898	67.52
15:08:39.452	1729148919452	67.51
15:08:40.005	1729148920005	67.56
15:08:40.559	1729148920559	67.6
15:08:41.113	1729148921113	67.57
15:08:41.668	1729148921668	67.59
15:08:42.222	1729148922222	67.56
15:08:42.777	1729148922777	67.6
15:08:43.331	1729148923331	67.59
15:08:43.885	1729148923885	67.57
15:08:44.439	1729148924439	67.53
15:08:44.993	1729148924993	67.51
15:08:45.546	1729148925546	67.53
15:08:46.101	1729148926101	67.6
15:08:46.657	1729148926657	67.48
15:08:47.210	1729148927210	67.56
15:08:47.765	1729148927765	67.56
15:08:48.319	1729148928319	67.51
15:08:48.873	1729148928873	67.53
15:08:49.426	1729148929426	67.58
15:08:49.981	1729148929981	67.61
15:08:50.535	1729148930535	67.49
15:08:51.090	1729148931090	67.56
15:08:51.644	1729148931644	67.65
15:08:52.198	1729148932198	67.51
15:08:52.750	1729148932750	67.56
15:08:53.303	1729148933303	67.58
15:08:53.857	1729148933857	67.53
15:08:54.411	1729148934411	67.57
15:08:54.965	1729148934965	67.53
15:08:55.519	1729148935519	67.51
15:08:56.072	1729148936072	67.51
15:08:56.629	1729148936629	67.44
15:08:57.182	1729148937182	66.93
15:08:57.736	1729148937736	64.22
15:08:58.290	1729148938290	56.06
15:08:58.843	1729148938843	42.78
15:08:59.394	1729148939394	29.27
15:08:59.949	1729148939949	19.17
15:09:00.502	1729148940502	12.48
15:09:01.057	1729148941057	8.25
15:09:01.612	1729148941612	5.5
15:09:02.165	1729148942165	3.94
15:09:02.719	1729148942719	3.01
15:09:03.271	1729148943271	2.45
15:09:03.825	1729148943825	2.13
15:09:04.378	1729148944378	1.93
15:09:04.933	1729148944933	1.71
15:09:05.486	1729148945486	1.49
15:09:06.040	1729148946040	1.23
15:09:06.596	1729148946596	0.98
15:09:07.150	1729148947150	0.84
15:09:07.702	1729148947702	0.7
15:09:08.257	1729148948257	0.63
15:09:08.810	1729148948810	0.58
15:09:09.361	1729148949361	0.53
15:09:09.915	1729148949915	0.49
15:09:10.470	1729148950470	0.48
15:09:11.022	1729148951022	0.49
15:09:11.578	1729148951578	0.5
15:09:12.132	1729148952132	0.52
15:09:12.686	1729148952686	0.5
15:09:13.241	1729148953241	0.54
15:09:13.793	1729148953793	0.55
15:09:14.348	1729148954348	0.54
15:09:14.902	1729148954902	0.59
15:09:15.454	1729148955454	0.55
15:09:16.008	1729148956008	0.59
15:09:16.564	1729148956564	0.58
15:09:17.118	1729148957118	0.59
15:09:17.669	1729148957669	0.63
15:09:18.224	1729148958224	0.59
15:09:18.777	1729148958777	0.57
15:09:19.331	1729148959331	0.59
15:09:19.886	1729148959886	0.58
15:09:20.439	1729148960439	0.57
15:09:20.992	1729148960992	0.58
15:09:21.548	1729148961548	0.57
15:09:22.101	1729148962101	0.59
15:09:22.655	1729148962655	0.6
15:09:23.208	1729148963208	0.6
15:09:23.762	1729148963762	0.6
15:09:24.314	1729148964314	0.61
15:09:24.868	1729148964868	0.58
15:09:25.422	1729148965422	0.58
15:09:25.979	1729148965979	0.57
15:09:26.532	1729148966532	0.59
15:09:27.085	1729148967085	0.56
15:09:27.640	1729148967640	0.56
15:09:28.194	1729148968194	0.54
15:09:28.748	1729148968748	0.57
15:09:29.300	1729148969300	0.61
15:09:29.855	1729148969855	0.58
15:09:30.409	1729148970409	0.6
15:09:30.965	1729148970965	0.56
15:09:31.518	1729148971518	0.56
15:09:32.070	1729148972070	0.57
15:09:32.624	1729148972624	0.58
15:09:33.176	1729148973176	0.6
15:09:33.729	1729148973729	0.59
15:09:34.283	1729148974283	0.56
15:09:34.836	1729148974836	0.55
15:09:35.389	1729148975389	0.61
15:09:35.945	1729148975945	0.61
15:09:36.497	1729148976497	0.64
15:09:37.050	1729148977050	0.61
15:09:37.604	1729148977604	0.68
15:09:38.158	1729148978158	0.66
15:09:38.710	1729148978710	0.68
15:09:39.263	1729148979263	0.71
15:09:39.816	1729148979816	0.68
15:09:40.368	1729148980368	0.73
15:09:40.925	1729148980925	0.74
15:09:41.479	1729148981479	0.77
15:09:42.034	1729148982034	0.83
15:09:42.587	1729148982587	0.83
15:09:43.139	1729148983139	0.79
15:09:43.692	1729148983692	0.89
15:09:44.246	1729148984246	0.92
15:09:44.799	1729148984799	0.93
15:09:45.352	1729148985352	0.94
15:09:45.907	1729148985907	0.92
15:09:46.459	1729148986459	0.98
15:09:47.012	1729148987012	1.03
15:09:47.564	1729148987564	1.02
15:09:48.118	1729148988118	1.11
15:09:48.671	1729148988671	1.11
15:09:49.223	1729148989223	1.13
15:09:49.777	1729148989777	1.17
15:09:50.331	1729148990331	1.25
15:09:50.886	1729148990886	1.26
15:09:51.440	1729148991440	1.27
15:09:51.993	1729148991993	1.32
15:09:52.547	1729148992547	1.34
15:09:53.103	1729148993103	1.42
15:09:53.656	1729148993656	1.45
15:09:54.210	1729148994210	1.53
15:09:54.765	1729148994765	1.58
15:09:55.319	1729148995319	1.64
15:09:55.872	1729148995872	1.65
15:09:56.426	1729148996426	1.74
15:09:56.980	1729148996980	1.77
15:09:57.534	1729148997534	1.84
15:09:58.087	1729148998087	1.9
15:09:58.641	1729148998641	1.94
15:09:59.196	1729148999196	2
15:09:59.750	1729148999750	2.04
15:10:00.306	1729149000306	2.12
15:10:00.860	1729149000860	2.18
15:10:01.414	1729149001414	2.29
15:10:01.968	1729149001968	2.4
15:10:02.523	1729149002523	2.46
15:10:03.077	1729149003077	2.57
15:10:03.630	1729149003630	2.67
15:10:04.183	1729149004183	2.76
15:10:04.737	1729149004737	2.87
15:10:05.291	1729149005291	3.01
15:10:05.843	1729149005843	3.15
15:10:06.395	1729149006395	3.34
15:10:06.948	1729149006948	3.56
15:10:07.502	1729149007502	3.9
15:10:08.055	1729149008055	4.27
15:10:08.609	1729149008609	4.72
15:10:09.163	1729149009163	5.32
15:10:09.717	1729149009717	6.18
15:10:10.271	1729149010271	7.27
15:10:10.825	1729149010825	8.64
15:10:11.378	1729149011378	10.48
15:10:11.931	1729149011931	12.64
15:10:12.485	1729149012485	15.22
15:10:13.039	1729149013039	17.95
15:10:13.593	1729149013593	20.59
15:10:14.146	1729149014146	22.84
15:10:14.698	1729149014698	24.61
15:10:15.252	1729149015252	25.9
15:10:15.806	1729149015806	27
15:10:16.359	1729149016359	27.91
15:10:16.913	1729149016913	28.76
15:10:17.467	1729149017467	29.43
15:10:18.022	1729149018022	30.15
15:10:18.575	1729149018575	30.79
15:10:19.128	1729149019128	31.42
15:10:19.683	1729149019683	32.11
15:10:20.237	1729149020237	32.76
15:10:20.793	1729149020793	33.37
15:10:21.347	1729149021347	34.09
15:10:21.899	1729149021899	34.6
15:10:22.453	1729149022453	35.29
15:10:23.007	1729149023007	35.92
15:10:23.561	1729149023561	36.56
15:10:24.115	1729149024115	37.13
15:10:24.672	1729149024672	37.65
15:10:25.224	1729149025224	38.28
15:10:25.777	1729149025777	38.92
15:10:26.332	1729149026332	39.44
15:10:26.887	1729149026887	40.05
15:10:27.440	1729149027440	40.61
15:10:27.993	1729149027993	41.17
15:10:28.547	1729149028547	41.66
15:10:29.100	1729149029100	42.2
15:10:29.657	1729149029657	42.59
15:10:30.210	1729149030210	43.13
15:10:30.762	1729149030762	43.56
15:10:31.314	1729149031314	44.02
15:10:31.867	1729149031867	44.58
15:10:32.420	1729149032420	45.06
15:10:32.973	1729149032973	45.65
15:10:33.528	1729149033528	46.13
15:10:34.080	1729149034080	46.59
15:10:34.635	1729149034635	47.17
15:10:35.187	1729149035187	47.58
15:10:35.740	1729149035740	48.16
15:10:36.294	1729149036294	48.55
15:10:36.846	1729149036846	48.92
15:10:37.400	1729149037400	49.31
15:10:37.953	1729149037953	49.7
15:10:38.507	1729149038507	50.09
15:10:39.060	1729149039060	50.46
15:10:39.616	1729149039616	50.77
15:10:40.170	1729149040170	51.17
15:10:40.723	1729149040723	51.56
15:10:41.276	1729149041276	51.85
15:10:41.831	1729149041831	52.23
15:10:42.383	1729149042383	52.6
15:10:42.938	1729149042938	52.91
15:10:43.493	1729149043493	53.2
15:10:44.046	1729149044046	53.44
15:10:44.603	1729149044603	53.81
15:10:45.158	1729149045158	54.08
15:10:45.711	1729149045711	54.36
15:10:46.264	1729149046264	54.65
15:10:46.818	1729149046818	54.92
15:10:47.372	1729149047372	55.22
15:10:47.924	1729149047924	55.43
15:10:48.478	1729149048478	55.69
15:10:49.031	1729149049031	55.94
15:10:49.588	1729149049588	56.24
15:10:50.142	1729149050142	56.47
15:10:50.696	1729149050696	56.73
15:10:51.250	1729149051250	56.91
15:10:51.804	1729149051804	57.15
15:10:52.359	1729149052359	57.48
15:10:52.914	1729149052914	57.65
15:10:53.467	1729149053467	57.85
15:10:54.020	1729149054020	58.1
15:10:54.579	1729149054579	58.31
15:10:55.132	1729149055132	58.52
15:10:55.686	1729149055686	58.73
15:10:56.240	1729149056240	58.88
15:10:56.794	1729149056794	59.09
15:10:57.348	1729149057348	59.26
15:10:57.901	1729149057901	59.4
15:10:58.453	1729149058453	59.63
15:10:59.006	1729149059006	59.82
15:10:59.563	1729149059563	59.87
15:11:00.114	1729149060114	60.06
15:11:00.668	1729149060668	60.21
15:11:01.221	1729149061221	60.39
15:11:01.773	1729149061773	60.58
15:11:02.327	1729149062327	60.81
15:11:02.881	1729149062881	60.98
15:11:03.435	1729149063435	61.11
15:11:03.988	1729149063988	61.19
15:11:04.544	1729149064544	61.28
15:11:05.096	1729149065096	61.52
15:11:05.650	1729149065650	61.69
15:11:06.204	1729149066204	61.86
15:11:06.756	1729149066756	61.89
15:11:07.310	1729149067310	62.02
15:11:07.863	1729149067863	62.17
15:11:08.417	1729149068417	62.35
15:11:08.971	1729149068971	62.48
15:11:09.527	1729149069527	62.52
15:11:10.082	1729149070082	62.75
15:11:10.636	1729149070636	62.81
15:11:11.190	1729149071190	62.97
15:11:11.742	1729149071742	63.02
15:11:12.296	1729149072296	63.13
15:11:12.849	1729149072849	63.27
15:11:13.403	1729149073403	63.35
15:11:13.957	1729149073957	63.46
15:11:14.511	1729149074511	63.6
15:11:15.063	1729149075063	63.62
15:11:15.616	1729149075616	63.81
15:11:16.171	1729149076171	63.88
15:11:16.725	1729149076725	63.95
15:11:17.278	1729149077278	64.04
15:11:17.832	1729149077832	64.17
15:11:18.385	1729149078385	64.19
15:11:18.938	1729149078938	64.32
